	artist	fans	rank	2015_shows	2014_shows	2013_shows	2012_shows	2011_shows	miles	all_shows	familiarity	hotttnesss	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	reggae	latin	classical	country	jazz	punk	electro house	pop	r&b	hip hop	rock	world	metal	blues	folk	bon_counts	ult_counts	acl_counts	han_counts	gba_counts	sas_counts	coa_counts	sxs_counts	bea_counts	noi_counts	genre_pick
/artists/1171574-la-dispute	La Dispute	41116.0	2471.0	47.0	69.0	31.0	93.0	119.0	295520.0	494.0	0.599672	0.649494	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.333333333333	0.0	0.0	0	0	0	0	0	0	0	1	0	0	5
/artists/1893274-eskmo	Eskmo	24376.0	3844.0	16.0	12.0	23.0	24.0	98.0	309579.0	248.0	0.520637	0.570997	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.5	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	6
/artists/406345-beachwood-sparks	Beachwood Sparks	17508.0	5070.0	0.0	1.0	7.0	11.0	1.0	37425.0	47.0	0.538606	0.518215	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.4	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	0	7
/artists/113970-iron-and-wine	Iron & Wine	388461.0	159.0	47.0	64.0	56.0	21.0	102.0	526158.0	725.0	0.739289	0.684402	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.363636363636	0.0	0.0	0.181818181818	0.0	0.0	0.0	0.454545454545	1	0	1	0	0	1	0	0	0	0	14
/artists/1659407-edx	EDX	21309.0	4323.0	67.0	70.0	70.0	50.0	5.0	506434.0	255.0	0.59176	0.624159	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	6
/artists/82388-murs	Murs	40357.0	2516.0	76.0	62.0	45.0	26.0	90.0	258786.0	445.0	0.651999	0.579645	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	9
/artists/939260-thedream	The-Dream	102458.0	1011.0	3.0	0.0	16.0	14.0	0.0	46225.0	34.0	0.681595	0.61293	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.3	0.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	7
/artists/1059247-rustie	Rustie	36770.0	2715.0	62.0	27.0	54.0	48.0	26.0	365995.0	283.0	0.564379	0.573986	1	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	9
/artists/856568-unicorn-kid	Unicorn Kid	14303.0	5935.0	0.0	0.0	2.0	16.0	15.0	54220.0	100.0	0.450158	0.531942	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0	0	0	0	0	0	1	1	0	0	11
/artists/51256-martin-sexton	Martin Sexton	16430.0	5347.0	73.0	38.0	59.0	76.0	72.0	401417.0	972.0	0.555641	0.502964	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.6	0	0	1	0	0	0	0	0	0	0	14
/artists/2362863-bad-rabbits	Bad Rabbits	8574.0	8675.0	11.0	102.0	54.0	21.0	89.0	180422.0	365.0	0.488208	0.569406	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	1	0	0	0
/artists/4311036-death-grips	Death Grips	35314.0	2816.0	41.0	0.0	39.0	44.0	24.0	126591.0	147.0	0.547778	0.580421	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	1	1	1	0	0	9
/artists/2437906-oneohtrix-point-never	Oneohtrix Point Never	27176.0	3482.0	13.0	31.0	38.0	42.0	38.0	301543.0	200.0	0.553171	0.575573	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.142857142857	0.0	0.0	0.142857142857	0.0	0.285714285714	0.0	0.142857142857	0	0	0	0	0	0	0	1	0	0	6
/artists/524867-miss-li	Miss Li	18049.0	4945.0	0.0	6.0	32.0	15.0	36.0	54074.0	159.0	0.435982	0.561003	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	7
/artists/256535-hot-chip	Hot Chip	278802.0	277.0	67.0	2.0	37.0	67.0	11.0	630205.0	600.0	0.735379	0.71932	0	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0	1	0	0	0	0	2	0	0	0	6
/artists/390738-shpongle	Shpongle	24754.0	3799.0	44.0	79.0	12.0	80.0	56.0	305644.0	334.0	0.630529	0.590038	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0	0	0	1	0	0	1	0	0	0	6
/artists/177679-paul-dempsey	Paul Dempsey	11001.0	7248.0	0.0	2.0	0.0	0.0	35.0	107110.0	79.0	0.469357	0.61637	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	10
/artists/2331736-jessica-lea-mayfield	Jessica Lea Mayfield	30920.0	3126.0	47.0	51.0	7.0	52.0	145.0	211242.0	441.0	0.491119	0.530105	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	1	0	0	0	0	0	0	1	0	0	14
