	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	artist	fans
/artists/137345-mgmt	0	0	0	0	0	0	0	0	0	0	MGMT	765708.0
/artists/309090-medeski-martin-and-wood	0	0	0	0	0	0	0	0	0	0	Medeski, Martin & Wood	31861.0
/artists/668003-justin-martin	0	0	0	0	0	0	0	0	0	0	Justin Martin	18768.0
/artists/175029-kasabian	0	0	0	1	0	0	0	0	0	0	Kasabian	320378.0
/artists/41674-gregory-alan-isakov	1	0	0	0	0	0	0	0	0	0	Gregory Alan Isakov	53243.0
/artists/5933069-chvrches	0	0	0	0	0	0	0	0	0	0	CHVRCHES	179904.0
/artists/974517-crookers	0	0	0	0	0	0	0	0	0	0	Crookers	72919.0
/artists/493466-plastikman	0	0	0	0	0	0	0	0	0	0	Plastikman	12025.0
/artists/193016-proxy	0	0	0	0	0	0	0	0	0	0	Proxy	12196.0
/artists/58149-ride	0	0	0	1	0	0	0	0	0	0	Ride	29864.0
/artists/4083611-bombino	0	0	0	0	0	0	0	0	0	0	Bombino	8657.0
/artists/1627069-geazy	1	0	0	0	0	0	0	0	0	0	G-Eazy	91032.0
/artists/757422-jack-white	0	0	0	1	0	0	0	0	0	0	Jack White	256566.0
/artists/500479-fruit-bats	0	0	0	0	0	0	0	0	0	0	Fruit Bats	39189.0
/artists/400815-posies	0	0	0	0	0	0	0	0	0	0	The Posies	49891.0
/artists/499226-pat-green	0	0	0	0	0	0	0	0	0	0	Pat Green	28945.0
/artists/2333073-allo-darlin	0	0	0	0	0	0	0	0	0	0	Allo Darlin'	12028.0
/artists/591824-brown-bird	0	0	0	0	0	0	0	0	0	0	Brown Bird	8053.0
/artists/560921-wave-pictures	0	0	0	0	0	0	0	0	0	0	The Wave Pictures	8890.0
/artists/374000-sweatshop-union	0	0	0	0	0	0	0	0	0	0	Sweatshop Union	8341.0
/artists/408204-akronfamily	0	0	0	0	0	0	0	0	0	0	Akron/Family	22711.0
/artists/571080-stick-to-your-guns	0	0	0	0	0	0	0	0	0	0	Stick to Your Guns	19552.0
/artists/3379836-high-highs	0	0	0	0	0	0	0	0	0	0	High Highs	31453.0
/artists/274629-sander-van-doorn	0	0	0	0	0	0	0	0	0	0	Sander van Doorn	83281.0
/artists/48045-tony-joe-white	0	0	0	0	0	0	0	0	0	1	Tony Joe White	10049.0
/artists/717485-marcus-schossow	0	1	0	0	0	0	0	0	0	0	Marcus Schossow	13539.0
